OrderID,CustomerID,OrderDate,PaymentMethod,OrderTotal
ORD1028,CUST112,2022-03-07 16:00:17,Debit Card,1499.66
ORD1029,CUST143,2024-09-12 17:03:02,PayPal,1806.63
ORD1030,CUST196,2022-07-12 05:52:43,Credit Card,2124.07
ORD1031,CUST151,2022-03-24 15:12:50,Debit Card,1231.8
ORD1032,CUST100,2023-03-23 09:03:57,Credit Card,5099.73
ORD1033,CUST135,2024-01-18 01:58:39,PayPal,6049.44
ORD1034,CUST194,2022-10-15 02:16:00,Credit Card,2600.52
ORD1035,CUST164,2022-08-20 18:19:03,PayPal,5648.1
ORD1036,CUST164,2022-02-13 11:18:51,Credit Card,1702.53
ORD1037,CUST194,2022-04-20 11:55:50,PayPal,3110.64
ORD1038,CUST195,2022-11-10 02:45:45,PayPal,4228.79
ORD1039,CUST131,2024-03-31 16:27:23,Debit Card,1757.52
ORD1040,CUST154,2024-06-09 08:55:38,Debit Card,1469.96
ORD1041,CUST109,2024-10-03 20:14:49,PayPal,5634.72
ORD1042,CUST160,2024-12-02 10:36:11,PayPal,1612.62
ORD1043,CUST105,2022-10-15 23:47:19,PayPal,543.8
ORD1044,CUST192,2023-12-15 15:39:35,Credit Card,603.1
ORD1045,CUST164,2022-04-13 08:43:44,Credit Card,3531.63
ORD1046,CUST175,2023-07-04 03:55:20,Credit Card,1182.38
ORD1047,CUST178,2023-11-10 18:50:24,PayPal,3133.28
ORD1048,CUST106,2022-07-30 05:23:43,Credit Card,749.48
ORD1049,CUST120,2022-09-05 04:24:37,Credit Card,7160.35
ORD1050,CUST109,2023-02-18 07:03:14,Debit Card,3037.12
ORD1051,CUST149,2022-11-24 17:31:15,Credit Card,5326.44
ORD1052,CUST110,2024-11-16 13:38:03,Credit Card,85.66
ORD1053,CUST193,2022-11-16 09:46:41,Credit Card,4564.74
ORD1054,CUST197,2023-07-31 18:12:00,PayPal,4892.35
ORD1055,CUST120,2024-06-09 23:21:44,PayPal,2298.41
ORD1056,CUST151,2024-03-26 16:28:52,Debit Card,3672.46
ORD1057,CUST190,2024-11-16 02:43:20,PayPal,3364.81
ORD1058,CUST158,2024-11-05 01:16:34,PayPal,268.95
ORD1059,CUST139,2024-01-25 21:18:24,Credit Card,3047.25
ORD1060,CUST125,2022-02-28 23:28:19,Credit Card,4149.77
ORD1061,CUST138,2023-08-08 06:30:49,PayPal,3344.74
ORD1062,CUST169,2024-11-03 05:41:09,Credit Card,1079.1
ORD1063,CUST108,2023-03-08 20:53:46,Credit Card,3313.92
ORD1064,CUST115,2023-01-09 23:03:02,Debit Card,4639.92
ORD1065,CUST162,2023-01-18 22:14:19,Debit Card,4962.23
ORD1066,CUST199,2022-12-08 09:29:53,PayPal,1509.86
ORD1067,CUST120,2022-10-10 23:41:31,Debit Card,1473.01
ORD1068,CUST192,2023-01-27 20:18:26,Credit Card,2274.69
ORD1069,CUST152,2022-10-26 05:54:05,PayPal,6587.27
ORD1070,CUST130,2023-03-25 01:43:12,Debit Card,4091.43
ORD1071,CUST133,2024-05-24 21:26:34,Credit Card,6278.19
ORD1072,CUST116,2023-03-16 23:47:59,Debit Card,5732.73
ORD1073,CUST144,2024-11-23 20:58:22,PayPal,1985.12
ORD1074,CUST132,2024-08-27 16:30:36,Debit Card,1100.37
ORD1075,CUST177,2023-07-20 06:35:20,Credit Card,2577.02
ORD1076,CUST116,2022-02-14 06:45:28,PayPal,1452.17
ORD1077,CUST162,2023-07-03 14:37:21,Debit Card,1793.86
ORD1078,CUST189,2024-08-23 21:21:35,Credit Card,5394.47
ORD1079,CUST146,2024-05-31 12:56:09,Debit Card,4272.18
ORD1080,CUST163,2023-09-17 17:22:19,PayPal,7603.61
ORD1081,CUST158,2023-10-21 00:28:18,Debit Card,5245.58
ORD1082,CUST112,2023-02-21 21:37:23,PayPal,559.11
ORD1083,CUST142,2023-12-01 16:31:28,Credit Card,1313.43
ORD1084,CUST146,2023-04-05 05:23:32,Debit Card,2619.83
ORD1085,CUST190,2022-01-20 06:26:58,Credit Card,4133.75
ORD1086,CUST197,2024-10-27 15:24:43,PayPal,3579.09
ORD1087,CUST171,2023-01-13 22:30:05,Debit Card,2902.06
ORD1088,CUST106,2024-10-18 10:47:36,Credit Card,5442.17
ORD1089,CUST169,2023-01-22 02:21:26,Debit Card,2060.32
ORD1090,CUST100,2024-07-18 16:21:59,PayPal,8228.42
ORD1091,CUST128,2023-11-11 06:06:47,Debit Card,2239.84
ORD1092,CUST140,2023-11-08 10:54:46,Credit Card,3766.84
ORD1093,CUST160,2024-03-02 06:35:11,Debit Card,3351.12
ORD1094,CUST129,2022-03-30 02:48:04,Debit Card,3158.55
ORD1095,CUST115,2022-04-01 06:01:00,Credit Card,5008.3
ORD1096,CUST176,2024-01-01 03:22:53,PayPal,1599.45
ORD1097,CUST173,2022-04-26 07:34:20,Credit Card,2809.49
ORD1098,CUST198,2023-12-22 08:33:30,Debit Card,942.69
ORD1099,CUST193,2023-03-21 13:33:05,Credit Card,2993.88
ORD1100,CUST161,2024-05-05 18:07:43,PayPal,6765.96
ORD1101,CUST191,2023-04-09 01:39:29,Debit Card,3002.97
ORD1102,CUST155,2024-09-18 10:11:10,Credit Card,2228.5
ORD1103,CUST182,2024-09-16 19:33:24,Credit Card,5310.93
ORD1104,CUST164,2024-11-28 12:40:42,PayPal,2533.6
ORD1105,CUST132,2022-06-10 13:38:54,PayPal,5124.17
ORD1106,CUST150,2024-08-27 11:31:51,Debit Card,3746.89
ORD1107,CUST173,2023-05-15 01:55:47,Credit Card,3760.23
ORD1108,CUST126,2023-09-06 02:12:37,PayPal,3473.09
ORD1109,CUST108,2024-12-22 20:57:07,Debit Card,4454.61
ORD1110,CUST113,2022-04-30 23:16:33,PayPal,4903.83
ORD1111,CUST166,2024-06-07 22:02:46,Credit Card,2732.56
ORD1112,CUST115,2022-09-11 12:47:56,Credit Card,3973.05
ORD1113,CUST146,2024-12-25 15:46:48,Debit Card,2341.05
ORD1114,CUST111,2023-04-03 21:40:17,Credit Card,2673.75
ORD1115,CUST192,2023-09-14 11:27:35,Credit Card,4394.76
ORD1116,CUST102,2024-04-13 19:32:52,Debit Card,1328.51
ORD1117,CUST153,2024-08-19 13:31:52,PayPal,2400.44
ORD1118,CUST121,2023-12-25 08:00:05,Credit Card,1696.39
ORD1119,CUST117,2023-04-25 16:15:33,Debit Card,6182.31
ORD1120,CUST126,2024-05-20 13:10:51,Credit Card,3206.62
ORD1121,CUST163,2024-01-29 12:53:49,Credit Card,1414.83
ORD1122,CUST110,2023-12-12 13:39:08,PayPal,1375.22
ORD1123,CUST182,2024-11-19 22:23:43,Credit Card,2847.06
ORD1124,CUST131,2024-05-31 14:40:21,PayPal,2772.72
ORD1125,CUST159,2023-09-10 01:48:07,Credit Card,2767.91
ORD1126,CUST103,2024-10-25 16:04:26,Debit Card,3995.9
ORD1127,CUST162,2022-06-03 09:32:33,Credit Card,1715.72
ORD1128,CUST195,2023-09-28 05:42:40,PayPal,4075.32
ORD1129,CUST142,2024-06-03 00:06:13,Credit Card,4753.59
ORD1130,CUST138,2023-09-20 11:07:03,Credit Card,2546.18
ORD1131,CUST153,2024-12-13 00:28:27,Credit Card,1493.41
ORD1132,CUST101,2024-10-17 22:05:00,PayPal,2337.66
ORD1133,CUST176,2022-11-30 12:48:04,Debit Card,5634.7
ORD1134,CUST171,2024-02-08 16:04:10,Credit Card,474.74
ORD1135,CUST126,2022-01-15 15:26:26,PayPal,2356.98
ORD1136,CUST165,2024-06-01 00:06:28,Credit Card,4176.96
ORD1137,CUST116,2023-01-21 15:05:06,Debit Card,4140.87
ORD1138,CUST179,2023-03-02 19:50:52,Debit Card,3740.71
ORD1139,CUST137,2024-02-03 23:23:03,Debit Card,3475.47
ORD1140,CUST121,2022-10-02 07:19:45,PayPal,4911.58
ORD1141,CUST180,2023-03-14 16:01:53,PayPal,1538.58
ORD1142,CUST146,2024-05-26 12:04:37,Debit Card,2350.29
ORD1143,CUST136,2023-10-15 00:11:24,Debit Card,6770.53
ORD1144,CUST117,2024-12-08 21:23:45,Credit Card,2438.83
ORD1145,CUST119,2022-10-10 01:28:19,Credit Card,3425.37
ORD1146,CUST111,2022-01-23 19:50:59,Credit Card,1161.96
ORD1147,CUST108,2022-02-03 19:11:10,Debit Card,3270.12
ORD1148,CUST187,2022-11-13 15:59:58,Debit Card,5083.85
ORD1149,CUST151,2023-11-01 03:51:30,Debit Card,4597.41
ORD1150,CUST134,2022-10-15 19:20:51,PayPal,3475.59
ORD1151,CUST166,2024-12-19 04:20:35,Debit Card,2227.58
ORD1152,CUST108,2022-05-02 09:50:10,Credit Card,6674.89
ORD1153,CUST195,2024-04-04 00:45:36,Debit Card,3483.48
ORD1154,CUST114,2023-10-12 03:26:49,Debit Card,2313.65
ORD1155,CUST153,2022-10-10 17:05:34,PayPal,2470.87
ORD1156,CUST126,2022-10-08 04:58:26,PayPal,2143.35
ORD1157,CUST131,2022-11-14 16:15:11,PayPal,2148.43
ORD1158,CUST183,2022-03-01 01:57:52,Credit Card,4517.84
ORD1159,CUST131,2022-12-18 12:22:48,Credit Card,1498.98
ORD1160,CUST143,2024-11-05 16:11:23,Debit Card,5152.14
ORD1161,CUST197,2022-03-25 15:15:31,Credit Card,5392.58
ORD1162,CUST175,2022-02-05 19:47:35,PayPal,4371.88
ORD1163,CUST130,2022-12-13 10:40:07,Debit Card,1528.78
ORD1164,CUST103,2024-09-07 17:49:01,Debit Card,3060.23
ORD1165,CUST181,2023-01-15 02:29:54,Credit Card,3041.87
ORD1166,CUST154,2023-02-15 23:32:15,Debit Card,4454.8
ORD1167,CUST177,2024-07-12 13:11:09,Debit Card,3705.48
ORD1168,CUST197,2024-12-19 17:37:54,Debit Card,4512.29
ORD1169,CUST177,2023-06-25 08:06:14,PayPal,3959.16
ORD1170,CUST148,2022-09-17 09:37:31,Debit Card,1677.94
ORD1171,CUST169,2022-01-12 04:14:34,Credit Card,3384.44
ORD1172,CUST140,2024-08-17 14:01:31,PayPal,6839.35
ORD1173,CUST105,2022-01-23 19:22:39,Debit Card,4071.77
ORD1174,CUST119,2024-06-13 00:26:57,Credit Card,3920.02
ORD1175,CUST163,2022-04-10 07:29:16,Debit Card,3426.48
ORD1176,CUST143,2022-05-20 19:28:54,Credit Card,3316.16
ORD1177,CUST177,2023-10-16 19:13:15,Debit Card,3601.41
ORD1178,CUST166,2022-05-02 11:46:51,Credit Card,3504.28
ORD1179,CUST100,2023-05-08 05:10:54,PayPal,3374.64
ORD1180,CUST159,2022-08-31 04:07:13,PayPal,2721.7
ORD1181,CUST161,2023-04-06 00:03:29,Credit Card,6426.28
ORD1182,CUST171,2024-12-05 20:15:23,Credit Card,906.42
ORD1183,CUST108,2022-08-27 08:15:52,PayPal,2062.46
ORD1184,CUST147,2024-11-17 15:13:42,Debit Card,3826.98
ORD1185,CUST147,2024-08-02 21:07:08,Debit Card,4664.35
ORD1186,CUST171,2024-01-31 21:36:18,Debit Card,2745.52
ORD1187,CUST170,2024-03-16 07:38:30,Credit Card,9508.95
ORD1188,CUST144,2024-05-21 03:54:41,Credit Card,2061.8
ORD1189,CUST177,2022-09-14 13:37:34,Debit Card,2020.2
ORD1190,CUST179,2022-09-02 08:56:06,Debit Card,379.73
ORD1191,CUST160,2023-05-26 13:58:07,Credit Card,1184.13
ORD1192,CUST170,2024-08-21 20:32:25,PayPal,1437.03
ORD1193,CUST161,2024-09-01 06:27:41,Debit Card,2398.78
ORD1194,CUST159,2022-05-01 13:23:07,Credit Card,4423.11
ORD1195,CUST116,2023-03-13 22:14:59,Credit Card,2613.12
ORD1196,CUST133,2022-10-12 13:35:53,PayPal,2523.81
ORD1197,CUST129,2022-04-12 19:39:49,Debit Card,2628.16
ORD1198,CUST117,2024-01-27 17:28:51,Credit Card,3673.82
ORD1199,CUST198,2023-01-28 20:35:54,Credit Card,1489.97
ORD1200,CUST178,2022-10-03 16:01:25,Debit Card,1173.72
ORD1201,CUST129,2024-07-30 01:31:37,PayPal,2726.31
ORD1202,CUST102,2022-02-28 14:47:20,Credit Card,2784.38
ORD1203,CUST120,2022-01-25 16:12:09,Debit Card,2124.62
ORD1204,CUST175,2022-10-29 02:39:30,Debit Card,3577.16
ORD1205,CUST123,2024-09-01 03:03:28,Debit Card,4738.92
ORD1206,CUST167,2023-12-04 22:35:45,Debit Card,2795.05
ORD1207,CUST158,2024-02-20 02:22:08,PayPal,2800.52
ORD1208,CUST108,2022-03-28 07:57:02,PayPal,4946.71
ORD1209,CUST197,2022-05-06 11:51:30,Debit Card,7082.32
ORD1210,CUST156,2023-01-13 19:30:01,Credit Card,3781.53
ORD1211,CUST109,2022-05-15 07:16:15,PayPal,2949.06
ORD1212,CUST182,2023-04-07 15:40:12,Credit Card,1756.71
ORD1213,CUST147,2024-06-30 08:23:22,Debit Card,2151.63
ORD1214,CUST128,2024-10-24 16:02:43,Debit Card,2786.31
ORD1215,CUST100,2024-12-08 10:10:41,PayPal,5484.29
ORD1216,CUST181,2022-01-09 13:30:19,Debit Card,1439.02
ORD1217,CUST100,2022-09-30 01:44:42,PayPal,2679.46
ORD1218,CUST179,2022-12-18 22:26:51,Credit Card,1455.63
ORD1219,CUST124,2023-07-25 21:33:36,PayPal,2110.74
ORD1220,CUST107,2024-09-17 04:50:08,Credit Card,5015.6
ORD1221,CUST179,2023-11-05 20:52:49,Credit Card,2247.85
ORD1222,CUST188,2023-05-26 12:37:12,Debit Card,2912.9
ORD1223,CUST178,2024-07-11 12:52:40,Debit Card,2782.52
ORD1224,CUST106,2022-09-03 07:54:05,Debit Card,1994.91
ORD1225,CUST170,2024-03-18 01:05:43,PayPal,2486.09
ORD1226,CUST183,2023-11-29 21:28:19,Debit Card,3642.23
ORD1227,CUST114,2022-12-18 08:56:13,PayPal,2399.7
ORD1228,CUST145,2023-12-28 18:34:54,Credit Card,3617.63
ORD1229,CUST188,2022-08-30 07:58:12,Debit Card,3013.92
ORD1230,CUST150,2022-07-23 18:47:29,Credit Card,2161.32
ORD1231,CUST155,2024-05-22 21:15:53,Debit Card,1456.05
ORD1232,CUST161,2022-03-02 15:11:17,Debit Card,3432.54
ORD1233,CUST127,2024-05-26 20:02:47,Credit Card,1807.54
ORD1234,CUST107,2024-12-13 20:38:54,PayPal,1199.41
ORD1235,CUST103,2023-12-04 13:07:40,PayPal,3475.83
ORD1236,CUST140,2024-07-02 21:16:32,Credit Card,2090.0
ORD1237,CUST107,2024-05-15 03:22:17,Debit Card,1917.01
ORD1238,CUST193,2023-09-14 09:09:14,Credit Card,6761.76
ORD1239,CUST132,2022-05-17 13:16:19,PayPal,2006.65
ORD1240,CUST141,2022-01-17 17:21:17,PayPal,4348.9
ORD1241,CUST173,2024-10-07 16:01:18,PayPal,5315.64
ORD1242,CUST165,2022-04-24 10:35:13,Debit Card,4324.28
ORD1243,CUST111,2023-10-24 12:41:31,PayPal,2312.04
ORD1244,CUST179,2023-06-28 23:52:11,PayPal,2807.84
ORD1245,CUST100,2023-06-13 10:35:36,Debit Card,3736.11
ORD1246,CUST106,2024-05-05 19:49:50,Credit Card,8939.22
ORD1247,CUST196,2023-08-08 21:09:44,Debit Card,904.43
ORD1248,CUST181,2024-04-10 01:15:06,PayPal,2514.48
ORD1249,CUST138,2023-12-18 05:16:14,PayPal,1909.99
ORD1250,CUST154,2023-04-18 13:51:39,PayPal,1646.12
ORD1251,CUST140,2023-04-05 23:16:07,Credit Card,1331.28
ORD1252,CUST137,2023-08-24 12:05:23,Debit Card,3553.8
ORD1253,CUST187,2024-12-26 03:18:19,Credit Card,1652.64
ORD1254,CUST173,2023-10-04 01:18:52,Credit Card,873.97
ORD1255,CUST148,2024-10-02 03:47:28,PayPal,5359.74
ORD1256,CUST127,2022-01-03 05:23:53,Credit Card,4188.03
ORD1257,CUST162,2024-10-05 03:03:29,Debit Card,4226.41
ORD1258,CUST135,2023-06-04 11:22:28,Debit Card,3073.04
ORD1259,CUST168,2022-02-13 01:45:39,PayPal,2016.18
ORD1260,CUST103,2024-04-16 14:50:02,PayPal,1113.43
ORD1261,CUST121,2023-04-27 04:22:29,Debit Card,6769.44
ORD1262,CUST101,2022-06-15 07:54:09,Debit Card,4142.72
ORD1263,CUST140,2024-12-14 19:20:14,Debit Card,2347.25
ORD1264,CUST102,2024-08-10 10:42:07,Debit Card,491.13
ORD1265,CUST122,2024-11-17 06:47:57,Debit Card,5670.94
ORD1266,CUST115,2024-02-29 09:20:34,Credit Card,2289.37
ORD1267,CUST172,2023-12-31 12:31:51,Credit Card,4209.92
ORD1268,CUST142,2024-07-15 23:29:35,Credit Card,2110.27
ORD1269,CUST132,2024-11-03 20:25:49,PayPal,3843.36
ORD1270,CUST155,2022-09-20 14:40:44,PayPal,6068.31
ORD1271,CUST164,2022-06-09 23:49:04,Credit Card,5085.24
ORD1272,CUST153,2022-04-07 11:33:08,Credit Card,2035.42
ORD1273,CUST184,2022-06-14 12:14:07,Credit Card,2349.87
ORD1274,CUST139,2022-06-10 03:32:06,Credit Card,4297.91
ORD1275,CUST118,2024-09-03 23:31:06,PayPal,5196.39
ORD1276,CUST113,2023-02-17 11:20:49,Credit Card,2199.62
ORD1277,CUST174,2024-01-02 14:08:35,PayPal,3240.55
ORD1278,CUST128,2023-05-02 13:30:19,Debit Card,3121.59
ORD1279,CUST165,2023-04-11 11:07:21,Credit Card,1797.05
ORD1280,CUST173,2023-12-24 19:04:30,Credit Card,3601.45
ORD1281,CUST145,2023-09-15 21:24:38,Debit Card,2432.85
ORD1282,CUST137,2024-06-05 20:13:34,Debit Card,6222.53
ORD1283,CUST184,2024-10-17 21:39:48,PayPal,3948.87
ORD1284,CUST134,2024-05-07 00:17:35,Debit Card,1664.37
ORD1285,CUST168,2023-12-11 06:31:49,Credit Card,5554.19
ORD1286,CUST172,2022-04-03 19:37:10,Debit Card,5940.52
ORD1287,CUST135,2024-02-02 01:22:51,Debit Card,3271.46
ORD1288,CUST197,2022-07-31 13:40:48,Debit Card,5475.35
ORD1289,CUST197,2024-08-20 18:35:05,Credit Card,4897.36
ORD1290,CUST109,2023-01-27 08:11:47,Credit Card,4291.3
ORD1291,CUST137,2024-05-17 20:03:41,PayPal,1469.83
ORD1292,CUST135,2022-03-18 07:11:21,Credit Card,5600.76
ORD1293,CUST133,2024-03-26 17:51:50,Debit Card,5648.08
ORD1294,CUST180,2023-11-06 14:37:42,Debit Card,1869.82
ORD1295,CUST158,2022-05-27 11:24:27,PayPal,3491.35
ORD1296,CUST180,2023-08-06 22:11:29,PayPal,4885.07
ORD1297,CUST152,2023-08-28 06:36:29,Credit Card,4058.24
ORD1298,CUST199,2022-04-28 11:45:40,Credit Card,4638.86
ORD1299,CUST114,2022-01-22 16:27:46,Credit Card,9104.35
ORD1300,CUST131,2022-03-13 03:47:18,PayPal,608.75
ORD1301,CUST110,2022-10-16 14:37:47,Credit Card,2787.73
ORD1302,CUST191,2023-05-11 22:29:04,PayPal,4396.76
ORD1303,CUST159,2022-10-21 07:05:57,PayPal,5378.49
ORD1304,CUST196,2023-12-09 02:50:15,Debit Card,1309.36
ORD1305,CUST155,2024-08-12 20:53:40,PayPal,3240.27
ORD1306,CUST152,2024-05-27 00:32:36,PayPal,4431.49
ORD1307,CUST154,2023-12-07 01:19:55,Credit Card,1717.46
ORD1308,CUST165,2023-02-13 16:44:25,PayPal,3674.95
ORD1309,CUST130,2024-02-16 18:24:19,Debit Card,4054.76
ORD1310,CUST180,2022-07-29 07:46:48,PayPal,7115.44
ORD1311,CUST190,2022-06-05 10:45:59,Credit Card,3436.1
ORD1312,CUST120,2023-08-22 02:49:01,Credit Card,2347.84
ORD1313,CUST149,2023-06-28 12:26:23,PayPal,4093.46
ORD1314,CUST100,2023-03-19 13:13:24,Credit Card,6340.91
ORD1315,CUST111,2022-05-16 14:53:09,Debit Card,686.94
ORD1316,CUST116,2023-08-24 19:38:34,Credit Card,5215.5
ORD1317,CUST105,2023-10-16 01:16:18,PayPal,2292.1
ORD1318,CUST185,2024-06-24 20:28:50,PayPal,5594.2
ORD1319,CUST184,2022-01-26 01:00:15,PayPal,1417.61
ORD1320,CUST170,2022-08-12 13:21:22,PayPal,4128.92
ORD1321,CUST170,2022-03-10 12:55:34,PayPal,2647.28
ORD1322,CUST198,2022-04-20 06:14:35,Credit Card,3890.45
ORD1323,CUST178,2024-12-30 09:24:17,Debit Card,463.57
ORD1324,CUST126,2022-09-01 00:10:42,Debit Card,1002.89
ORD1325,CUST120,2024-11-03 01:23:46,Debit Card,1658.74
ORD1326,CUST140,2024-02-12 10:09:57,Credit Card,3629.46
ORD1327,CUST106,2024-07-24 00:03:54,PayPal,6154.29
ORD1328,CUST183,2023-11-08 14:40:01,Debit Card,4620.86
ORD1329,CUST155,2023-08-28 06:58:36,Debit Card,3386.14
ORD1330,CUST163,2022-05-30 01:05:40,Debit Card,5372.69
ORD1331,CUST102,2022-01-14 05:00:22,PayPal,4635.7
ORD1332,CUST186,2023-04-26 08:03:30,Debit Card,2747.18
ORD1333,CUST192,2023-08-16 14:20:14,PayPal,1441.31
ORD1334,CUST102,2022-03-29 23:44:48,Credit Card,1391.62
ORD1335,CUST152,2024-02-03 16:22:21,Credit Card,2634.7
ORD1336,CUST112,2024-03-24 23:50:13,PayPal,3333.49
ORD1337,CUST145,2023-03-27 06:02:23,Credit Card,7598.18
ORD1338,CUST192,2023-06-13 11:47:35,PayPal,963.54
ORD1339,CUST104,2023-04-21 04:59:22,Credit Card,2685.75
ORD1340,CUST124,2023-05-18 07:28:12,Debit Card,6232.68
ORD1341,CUST183,2023-04-11 14:47:08,PayPal,1818.0
ORD1342,CUST161,2024-05-21 15:16:55,Credit Card,2570.12
ORD1343,CUST130,2022-09-17 13:58:58,PayPal,2779.79
ORD1344,CUST164,2023-10-04 19:44:11,PayPal,3421.37
ORD1345,CUST196,2023-10-25 23:44:19,PayPal,3043.58
ORD1346,CUST110,2023-02-03 00:26:56,Credit Card,2287.82
ORD1347,CUST133,2022-06-09 12:28:35,Credit Card,4838.32
ORD1348,CUST121,2023-03-18 01:25:16,Credit Card,1883.52
ORD1349,CUST162,2023-03-18 22:18:25,Debit Card,3435.86
ORD1350,CUST129,2023-05-09 13:01:32,Credit Card,7597.72
ORD1351,CUST155,2024-04-12 19:40:01,PayPal,1016.76
ORD1352,CUST182,2022-01-01 04:59:12,Credit Card,8161.77
ORD1353,CUST124,2024-08-22 22:18:58,PayPal,2424.85
ORD1354,CUST172,2023-03-30 17:37:20,Debit Card,1058.1
ORD1355,CUST177,2023-09-20 07:09:16,PayPal,6228.4
ORD1356,CUST174,2022-06-11 18:09:08,Credit Card,3739.86
ORD1357,CUST144,2022-11-26 16:00:06,PayPal,978.13
ORD1358,CUST146,2022-01-19 07:17:48,Credit Card,1710.67
ORD1359,CUST166,2022-05-07 16:15:29,PayPal,3222.67
ORD1360,CUST181,2024-06-12 21:29:17,Credit Card,516.03
ORD1361,CUST125,2024-02-06 12:08:11,PayPal,5026.21
ORD1362,CUST125,2024-06-09 18:31:11,PayPal,4464.91
ORD1363,CUST183,2024-02-27 02:05:06,PayPal,4097.23
ORD1364,CUST137,2022-05-18 18:38:08,PayPal,3787.78
ORD1365,CUST196,2023-11-16 01:55:02,PayPal,1849.56
ORD1366,CUST195,2022-05-02 13:51:17,PayPal,4200.81
ORD1367,CUST160,2023-12-07 12:16:41,Debit Card,3816.59
ORD1368,CUST197,2023-05-30 15:09:56,PayPal,2789.08
ORD1369,CUST171,2024-02-23 15:52:05,Credit Card,1697.09
ORD1370,CUST122,2023-09-04 17:28:23,Debit Card,2971.14
ORD1371,CUST128,2024-03-07 20:44:22,Credit Card,2241.12
ORD1372,CUST112,2023-12-24 13:19:33,PayPal,2251.78
ORD1373,CUST109,2024-07-02 04:08:29,Debit Card,1481.38
ORD1374,CUST171,2024-09-16 04:05:02,Credit Card,999.4
ORD1375,CUST143,2022-04-18 20:39:13,Credit Card,3747.59
ORD1376,CUST148,2022-10-03 22:38:09,Credit Card,2921.75
ORD1377,CUST152,2022-11-19 18:48:12,Credit Card,3140.67
ORD1378,CUST178,2023-11-11 16:30:20,Credit Card,2229.83
ORD1379,CUST172,2023-11-26 05:54:20,PayPal,7287.97
ORD1380,CUST174,2024-04-29 19:09:31,Debit Card,5029.9
ORD1381,CUST197,2023-04-30 17:00:55,PayPal,2157.56
ORD1382,CUST136,2023-09-18 06:10:03,PayPal,1024.12
ORD1383,CUST157,2024-02-05 10:23:01,Credit Card,4473.73
ORD1384,CUST161,2022-01-21 05:30:34,Credit Card,1892.32
ORD1385,CUST144,2024-03-12 09:19:01,PayPal,5383.05
ORD1386,CUST138,2024-02-20 21:09:13,PayPal,4526.59
ORD1387,CUST153,2024-12-02 21:11:23,PayPal,4272.56
ORD1388,CUST122,2022-02-19 05:19:38,Debit Card,3532.11
ORD1389,CUST155,2023-07-23 21:17:52,PayPal,5575.11
ORD1390,CUST195,2022-06-29 00:40:00,Credit Card,1767.37
ORD1391,CUST161,2022-09-20 15:37:19,Credit Card,1776.43
ORD1392,CUST153,2024-05-02 06:03:57,PayPal,3814.73
ORD1393,CUST193,2022-07-18 07:16:58,Debit Card,5368.67
ORD1394,CUST113,2022-10-19 19:44:31,Credit Card,4369.36
ORD1395,CUST160,2022-04-17 17:36:58,Debit Card,2353.04
ORD1396,CUST160,2024-02-10 17:43:36,Credit Card,4572.0
ORD1397,CUST193,2022-12-16 17:50:26,PayPal,4108.93
ORD1398,CUST152,2024-05-19 00:45:01,Debit Card,8344.56
ORD1399,CUST136,2024-07-31 17:58:16,PayPal,2707.98
ORD1400,CUST101,2022-09-06 17:46:54,Debit Card,3998.74
ORD1401,CUST124,2023-06-21 01:55:33,PayPal,5657.11
